Key,Value
8/23/2018 12:00:00 AM,20
8/24/2018 12:00:00 AM,0
8/25/2018 12:00:00 AM,1
8/26/2018 12:00:00 AM,0
8/27/2018 12:00:00 AM,0
8/28/2018 12:00:00 AM,0
8/29/2018 12:00:00 AM,2
8/30/2018 12:00:00 AM,0
8/31/2018 12:00:00 AM,4
9/1/2018 12:00:00 AM,10
9/2/2018 12:00:00 AM,16
9/3/2018 12:00:00 AM,14
9/4/2018 12:00:00 AM,29
9/5/2018 12:00:00 AM,40
9/6/2018 12:00:00 AM,9
9/7/2018 12:00:00 AM,26
9/8/2018 12:00:00 AM,49
9/9/2018 12:00:00 AM,60
9/10/2018 12:00:00 AM,34
9/11/2018 12:00:00 AM,51
9/12/2018 12:00:00 AM,56
9/13/2018 12:00:00 AM,21
9/14/2018 12:00:00 AM,15
9/15/2018 12:00:00 AM,33
9/16/2018 12:00:00 AM,34
9/17/2018 12:00:00 AM,26
9/18/2018 12:00:00 AM,37
9/19/2018 12:00:00 AM,27
9/20/2018 12:00:00 AM,19
9/21/2018 12:00:00 AM,21
9/22/2018 12:00:00 AM,12
9/23/2018 12:00:00 AM,0
9/24/2018 12:00:00 AM,12
9/25/2018 12:00:00 AM,0
9/26/2018 12:00:00 AM,0
9/27/2018 12:00:00 AM,0
9/28/2018 12:00:00 AM,0
9/29/2018 12:00:00 AM,2
9/30/2018 12:00:00 AM,14
10/1/2018 12:00:00 AM,13
10/2/2018 12:00:00 AM,3
10/3/2018 12:00:00 AM,7
10/4/2018 12:00:00 AM,12
10/5/2018 12:00:00 AM,137
10/6/2018 12:00:00 AM,203
10/7/2018 12:00:00 AM,27
10/8/2018 12:00:00 AM,540
10/9/2018 12:00:00 AM,527
10/10/2018 12:00:00 AM,46
10/11/2018 12:00:00 AM,110
10/12/2018 12:00:00 AM,115
10/13/2018 12:00:00 AM,57
10/14/2018 12:00:00 AM,56
10/15/2018 12:00:00 AM,20
10/16/2018 12:00:00 AM,15
10/17/2018 12:00:00 AM,30
10/18/2018 12:00:00 AM,40
10/19/2018 12:00:00 AM,25
10/20/2018 12:00:00 AM,108
10/21/2018 12:00:00 AM,104
10/22/2018 12:00:00 AM,67
10/23/2018 12:00:00 AM,0
10/24/2018 12:00:00 AM,0
10/25/2018 12:00:00 AM,0
10/26/2018 12:00:00 AM,0
10/27/2018 12:00:00 AM,13
10/28/2018 12:00:00 AM,0
10/29/2018 12:00:00 AM,0
10/30/2018 12:00:00 AM,8
10/31/2018 12:00:00 AM,32
11/1/2018 12:00:00 AM,8
11/2/2018 12:00:00 AM,8
11/3/2018 12:00:00 AM,0
11/4/2018 12:00:00 AM,27
11/5/2018 12:00:00 AM,17
11/6/2018 12:00:00 AM,28
11/7/2018 12:00:00 AM,20
11/8/2018 12:00:00 AM,16
11/9/2018 12:00:00 AM,44
11/10/2018 12:00:00 AM,19
11/11/2018 12:00:00 AM,19
11/12/2018 12:00:00 AM,18
11/13/2018 12:00:00 AM,0
11/14/2018 12:00:00 AM,18
11/15/2018 12:00:00 AM,11
11/16/2018 12:00:00 AM,46
11/17/2018 12:00:00 AM,210
11/18/2018 12:00:00 AM,183
11/19/2018 12:00:00 AM,0
11/20/2018 12:00:00 AM,5
11/21/2018 12:00:00 AM,15
11/22/2018 12:00:00 AM,10
11/23/2018 12:00:00 AM,0
11/24/2018 12:00:00 AM,0
11/25/2018 12:00:00 AM,0
11/26/2018 12:00:00 AM,22
11/27/2018 12:00:00 AM,3
11/28/2018 12:00:00 AM,17
11/29/2018 12:00:00 AM,0
11/30/2018 12:00:00 AM,0
12/1/2018 12:00:00 AM,12
12/2/2018 12:00:00 AM,11
12/3/2018 12:00:00 AM,0
12/4/2018 12:00:00 AM,59
12/5/2018 12:00:00 AM,48
12/6/2018 12:00:00 AM,45
12/7/2018 12:00:00 AM,10
12/8/2018 12:00:00 AM,46
12/9/2018 12:00:00 AM,83
12/10/2018 12:00:00 AM,81
12/11/2018 12:00:00 AM,187
12/12/2018 12:00:00 AM,382
12/13/2018 12:00:00 AM,1326
12/14/2018 12:00:00 AM,1974
12/15/2018 12:00:00 AM,576
12/16/2018 12:00:00 AM,14
12/17/2018 12:00:00 AM,6
12/18/2018 12:00:00 AM,0
12/19/2018 12:00:00 AM,0
12/20/2018 12:00:00 AM,0
12/21/2018 12:00:00 AM,0
12/22/2018 12:00:00 AM,4
12/23/2018 12:00:00 AM,15
12/24/2018 12:00:00 AM,0
12/25/2018 12:00:00 AM,4
12/26/2018 12:00:00 AM,7
12/27/2018 12:00:00 AM,7
12/28/2018 12:00:00 AM,6
12/29/2018 12:00:00 AM,7
12/30/2018 12:00:00 AM,10
12/31/2018 12:00:00 AM,15
1/1/2019 12:00:00 AM,6
1/2/2019 12:00:00 AM,9
1/3/2019 12:00:00 AM,222
1/4/2019 12:00:00 AM,685
1/5/2019 12:00:00 AM,12
1/6/2019 12:00:00 AM,2
1/7/2019 12:00:00 AM,0
1/8/2019 12:00:00 AM,0
1/9/2019 12:00:00 AM,0
1/10/2019 12:00:00 AM,10
1/11/2019 12:00:00 AM,8
1/12/2019 12:00:00 AM,16
1/13/2019 12:00:00 AM,12
1/14/2019 12:00:00 AM,6
1/15/2019 12:00:00 AM,8
1/16/2019 12:00:00 AM,0
1/17/2019 12:00:00 AM,0
1/18/2019 12:00:00 AM,0
1/19/2019 12:00:00 AM,0
1/20/2019 12:00:00 AM,0
1/21/2019 12:00:00 AM,14
1/22/2019 12:00:00 AM,0
1/23/2019 12:00:00 AM,0
1/24/2019 12:00:00 AM,3
1/25/2019 12:00:00 AM,8
1/26/2019 12:00:00 AM,13
1/27/2019 12:00:00 AM,5
1/28/2019 12:00:00 AM,13
1/29/2019 12:00:00 AM,3
1/30/2019 12:00:00 AM,13
1/31/2019 12:00:00 AM,13
2/1/2019 12:00:00 AM,3
2/2/2019 12:00:00 AM,12
2/3/2019 12:00:00 AM,10
2/4/2019 12:00:00 AM,6
2/5/2019 12:00:00 AM,2
2/6/2019 12:00:00 AM,0
2/7/2019 12:00:00 AM,3
2/8/2019 12:00:00 AM,19
2/9/2019 12:00:00 AM,11
2/10/2019 12:00:00 AM,11
2/11/2019 12:00:00 AM,2
2/12/2019 12:00:00 AM,0
2/13/2019 12:00:00 AM,6
2/14/2019 12:00:00 AM,3
2/15/2019 12:00:00 AM,8
2/16/2019 12:00:00 AM,20
2/17/2019 12:00:00 AM,3
2/18/2019 12:00:00 AM,0
2/19/2019 12:00:00 AM,0
2/20/2019 12:00:00 AM,0
2/21/2019 12:00:00 AM,0
2/22/2019 12:00:00 AM,2
2/23/2019 12:00:00 AM,14
2/24/2019 12:00:00 AM,4
2/25/2019 12:00:00 AM,0
2/26/2019 12:00:00 AM,20
2/27/2019 12:00:00 AM,6
2/28/2019 12:00:00 AM,6
3/1/2019 12:00:00 AM,2
3/2/2019 12:00:00 AM,4
3/3/2019 12:00:00 AM,2
3/4/2019 12:00:00 AM,11
3/5/2019 12:00:00 AM,17
3/6/2019 12:00:00 AM,4
3/7/2019 12:00:00 AM,4
3/8/2019 12:00:00 AM,16
3/9/2019 12:00:00 AM,12
3/10/2019 12:00:00 AM,2
3/11/2019 12:00:00 AM,2
3/12/2019 12:00:00 AM,15
3/13/2019 12:00:00 AM,12
3/14/2019 12:00:00 AM,2
3/15/2019 12:00:00 AM,2
